SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,latitude,longitude,data_longtime,LOCATION_ELEV,IGBP,MAT,MAP
US-Me1,Metolius - Eyerly burn,CC-BY-4.0,,44.5794,-121.5,2,896,ENF,7.88,704.61
US-Me2,Metolius mature ponderosa pine,CC-BY-4.0,,44.4523,-121.5574,13,1253,ENF,6.28,523
US-Me3,Metolius-second young aged pine,CC-BY-4.0,,44.3154,-121.6078,6,1005,ENF,7.07,719
US-Me4,Metolius-old aged ponderosa pine,CC-BY-4.0,,44.4992,-121.6224,5,922,ENF,7.61,1038.82
US-Me5,Metolius-first young aged pine,CC-BY-4.0,,44.4372,-121.5668,3,1188,ENF,6.47,590.81
US-Me6,Metolius Young Pine Burn,CC-BY-4.0,,44.3233,-121.6078,5,998,ENF,7.59,494
US-MMS,Morgan Monroe State Forest,CC-BY-4.0,,39.3232,-86.4131,16,275,DBF,10.85,1032
US-MRM,Marsh Resource Meadowlands Mitigation Bank,,CC-BY-4.0,40.8164,-74.0435,2,1,WET,13.5,1120
US-Myb,Mayberry Wetland,CC-BY-4.0,CC-BY-4.0,38.0499,-121.765,5,-4,WET,15.9,338
US-NC4,NC_AlligatorRiver,,CC-BY-4.0,35.7879,-75.9038,5,1,WET,16.6,1311
US-Ne1,Mead - irrigated continuous maize site,CC-BY-4.0,,41.1651,-96.4766,13,361,CRO,10.07,790.37
US-Ne2,Mead - irrigated maize-soybean rotation site,CC-BY-4.0,,41.1649,-96.4701,13,362,CRO,10.08,788.89
US-Ne3,Mead - rainfed maize-soybean rotation site,CC-BY-4.0,,41.1797,-96.4397,13,363,CRO,10.11,783.68
US-NGB,NGEE Arctic Barrow,,CC-BY-4.0,71.28,-156.6092,2,5.273,SNO,-11.27,171
US-NGC,NGEE Arctic Council,,CC-BY-4.0,64.8614,-163.7008,2,35,GRA,,
US-NR1,Niwot Ridge Forest (LTER NWT1),CC-BY-4.0,,40.0329,-105.5464,17,3050,ENF,1.5,800
US-Oho,Oak Openings,CC-BY-4.0,,41.5545,-83.8438,10,230,DBF,10.1,849
US-ORv,Olentangy River Wetland Research Park,CC-BY-4.0,CC-BY-4.0,40.0201,-83.0183,10,221,WET,11.63,1499.1
US-OWC,Old Woman Creek,,CC-BY-4.0,41.3795,-82.5125,2,174,WET,10.7,930
US-PFa,Park Falls/WLEF,CC-BY-4.0,CC-BY-4.0,45.9459,-90.2723,20,470,MF,4.33,823
US-Prr,Poker Flat Research Range Black Spruce Forest,CC-BY-4.0,,65.1237,-147.4876,5,210,ENF,-2,275
US-Snd,Sherman Island,,CC-BY-4.0,38.0366,-121.754,6,-5,GRA,15.6,358
US-Sne,Sherman Island Restored Wetland,,CC-BY-4.0,38.0369,-121.7547,3,-5,GRA,16.09,311
US-SRC,Santa Rita Creosote,CC-BY-4.0,,31.9083,-110.8395,7,950,OSH,22,330
US-SRG,Santa Rita Grassland,CC-BY-4.0,,31.7894,-110.8277,7,1291,GRA,17,420
US-SRM,Santa Rita Mesquite,CC-BY-4.0,,31.8214,-110.8661,11,1120,WSA,17.92,380
US-Srr,Suisun marsh - Rush Ranch,,CC-BY-4.0,38.2006,-122.0264,4,8,WET,15.1,326
US-Sta,Saratoga,CC-BY-4.0,,41.3966,-106.8024,5,2069,OSH,5.1,
US-StJ,St Jones Reserve,,CC-BY-4.0,39.0882,-75.4372,1,6.7,WET,13.5,1121
US-Syv,Sylvania Wilderness Area,CC-BY-4.0,,46.242,-89.3477,14,540,MF,3.81,826
US-Ton,Tonzi Ranch,CC-BY-4.0,,38.4309,-120.966,14,177,WSA,15.8,559
US-Tw1,Twitchell Wetland West Pond,CC-BY-4.0,CC-BY-4.0,38.1074,-121.6469,2,-5,WET,15.5,421
US-Tw2,Twitchell Corn,CC-BY-4.0,,38.1047,-121.6433,2,-5,CRO,15.5,421
US-Tw3,Twitchell Alfalfa,CC-BY-4.0,CC-BY-4.0,38.1152,-121.6469,2,-4,CRO,15.6,421
US-Tw4,Twitchell East End Wetland,CC-BY-4.0,CC-BY-4.0,38.1027,-121.6413,2,-5,WET,15.6,421
US-Tw5,East Pond Wetland,,CC-BY-4.0,38.1072,-121.6426,1,-5,WET,15.5,421
US-Twt,Twitchell Island,CC-BY-4.0,CC-BY-4.0,38.1087,-121.6531,6,-7,CRO,15.6,421
US-Uaf,"University of Alaska, Fairbanks",,CC-BY-4.0,64.8663,-147.8555,8,155,ENF,-2.9,263
US-UMB,Univ. of Mich. Biological Station,CC-BY-4.0,,45.5598,-84.7138,15,234,DBF,5.83,803
US-UMd,UMBS Disturbance,CC-BY-4.0,,45.5625,-84.6975,8,239,DBF,5.83,803
US-Var,Vaira Ranch- Ione,CC-BY-4.0,,38.4133,-120.9508,15,129,GRA,15.8,559
US-WCr,Willow Creek,CC-BY-4.0,,45.8059,-90.0799,16,520,DBF,4.02,787
US-Whs,Walnut Gulch Lucky Hills Shrub,CC-BY-4.0,,31.7438,-110.0522,8,1370,OSH,17.6,320
